# taxa  Frequency(n)   propn
   0         350       0.3500
   1         382       0.3820
   2         201       0.2010
   3          55       0.0550
   4           9       0.0090
   5           3       0.0030
   6           0       0.0000
   7           0       0.0000
   8           0       0.0000
   9           0       0.0000
  10           0       0.0000
  11           0       0.0000
  12           0       0.0000
  13           0       0.0000
  14           0       0.0000
  15           0       0.0000
  16           0       0.0000
  17           0       0.0000
  18           0       0.0000
  19           0       0.0000
  20           0       0.0000

# Microbiome strings for all 1000 hosts 
#    1   00000000000010000000   1   
#    2   00000001000000100000   2   
#    3   00000000100000000010   2   
#    4   11000000000000000000   2   
#    5   00000000000000000000   0   
#    6   00100000000000000000   1   
#    7   00000001100000010000   3   
#    8   00000000000000000000   0   
#    9   00000100000100000000   2   
#   10   00000100000000000000   1   
#   11   00000100000000000000   1   
#   12   10000000000000000000   1   
#   13   01000000000000000000   1   
#   14   00000000000000000000   0   
#   15   00000010000000000000   1   
#   16   00000100000000000000   1   
#   17   00000000000010000000   1   
#   18   00000000000000010000   1   
#   19   00000000000000000000   0   
#   20   00000000000000000000   0   
#   21   00000000000000000000   0   
#   22   00000000000000000000   0   
#   23   00000000000000000000   0   
#   24   00000000000001001000   2   
#   25   00010000000000000000   1   
#   26   00000000000000000000   0   
#   27   10000000000000000000   1   
#   28   00010000010000000000   2   
#   29   00000000000100000001   2   
#   30   00000000000000000000   0   
#   31   00000000000000000000   0   
#   32   00000010100000000001   3   
#   33   00000000000000000000   0   
#   34   10000000010000000000   2   
#   35   00000000000000001000   1   
#   36   00000000000000000000   0   
#   37   00000000000000000001   1   
#   38   00000000000100000000   1   
#   39   00000000000000000000   0   
#   40   00000001100000000000   2   
#   41   00100000001000001000   3   
#   42   00000000000000000000   0   
#   43   00000000000000000000   0   
#   44   00000000000000000000   0   
#   45   00000010000000000000   1   
#   46   00110000000001100001   5   
#   47   00000000000000000000   0   
#   48   00000000000000000000   0   
#   49   00000000000100010000   2   
#   50   01000000001000000000   2   
#   51   00100000000000100000   2   
#   52   00000000000000000100   1   
#   53   00000000000000000000   0   
#   54   00000000000000000000   0   
#   55   00001000000000000001   2   
#   56   00000000000000000000   0   
#   57   10000000000000000000   1   
#   58   00000001000000000000   1   
#   59   10000000000000000000   1   
#   60   00000100000001000000   2   
#   61   00000000000010000000   1   
#   62   00000000100000000000   1   
#   63   00000000000100000000   1   
#   64   00000001010000000000   2   
#   65   00001000000000000000   1   
#   66   00000000000000000000   0   
#   67   00000100000000000000   1   
#   68   00000000100000000000   1   
#   69   00000010000000001000   2   
#   70   00000000000000000000   0   
#   71   00000000000000000000   0   
#   72   00000000000000000010   1   
#   73   01100000000000000000   2   
#   74   00000010000000000000   1   
#   75   00000000000000000010   1   
#   76   00000000000000010000   1   
#   77   00000000101000000001   3   
#   78   00100010000000000001   3   
#   79   00000000100000000000   1   
#   80   00000000000000000000   0   
#   81   00000000000000010000   1   
#   82   00000000000000000000   0   
#   83   00001000000000000000   1   
#   84   00000000000000100000   1   
#   85   00000000000000000000   0   
