#e0	 w
0.0001	0.497
0.0005	0.493
0.001	0.489
0.002	0.484
0.003	0.481
0.004	0.478
0.005	0.475
0.006	0.472
0.007	0.470
0.008	0.468
0.009	0.466
0.010	0.464
0.02	0.45
0.03	0.44
0.04	0.43
0.05	0.42
0.06	0.41
0.07	0.40
0.08	0.40
0.09	0.39
0.10	0.38
0.11	0.37
0.12	0.37
0.13	0.36
0.14	0.36
0.15	0.35
0.16	0.34
0.17	0.34
0.18	0.33
0.19	0.33
0.20	0.32
0.21	0.32
0.22	0.31
0.23	0.31
0.24	0.30
0.25	0.30
0.26	0.30
0.27	0.29
0.28	0.29
0.29	0.28
0.30	0.28
0.31	0.27
0.32	0.27
0.33	0.27
0.34	0.26
0.35	0.26
0.36	0.25
0.37	0.25
0.38	0.25
0.39	0.24
0.40	0.24
0.41	0.24
0.42	0.23
0.43	0.23
0.44	0.22
0.45	0.22
0.46	0.22
0.47	0.21
0.48	0.21
0.49	0.21
0.50	0.20
0.51	0.20
0.52	0.20
0.53	0.20
0.54	0.19
0.55	0.19
0.56	0.19
0.57	0.18
0.58	0.18
0.59	0.18
0.60	0.17
0.61	0.17
0.62	0.16
0.63	0.16
0.64	0.16
0.65	0.15
0.66	0.15
0.67	0.15
0.68	0.14
0.69	0.14
0.70	0.14
0.71	0.13
0.72	0.13
0.73	0.12
0.74	0.12
0.75	0.12
0.76	0.11
0.77	0.11
0.78	0.10
0.79	0.10
0.80	0.10
0.81	0.09
0.82	0.09
0.83	0.08
0.84	0.08
0.85	0.07
0.86	0.07
0.87	0.07
0.88	0.06
0.89	0.06
0.90	0.05
0.91	0.05
0.92	0.04
0.93	0.04
0.94	0.03
0.95	0.03
0.96	0.02
0.97	0.02
0.99	0.005
0.999	0.0005

