t         VX       fr_sym1   fr_M0      D          x.fsym0   x.fsym1  x.msym0M0  x.msym1M0  x.msym0M1  x.msym1M1   
 0.000     656.0   0.1252   0.0187   0.0024        292.4     40.1      6.0        0.0      275.4       42.0
 0.010     655.9   0.1252   0.0187   0.0024        292.4     40.1      6.0        0.0      275.4       41.9
 0.020     655.9   0.1252   0.0188   0.0023        292.4     40.2      6.0        0.0      275.4       41.8
 0.030     655.8   0.1251   0.0189   0.0023        292.3     40.3      6.0        0.1      275.4       41.8
 0.040     655.8   0.1251   0.0189   0.0022        292.3     40.3      6.0        0.1      275.4       41.7
 0.050     655.7   0.1251   0.0190   0.0022        292.2     40.4      6.0        0.1      275.4       41.6
 0.060     655.7   0.1251   0.0190   0.0021        292.2     40.4      6.0        0.1      275.4       41.5
 0.070     655.6   0.1250   0.0191   0.0021        292.2     40.4      6.0        0.1      275.4       41.4
 0.080     655.6   0.1250   0.0192   0.0020        292.1     40.5      6.0        0.1      275.4       41.3
 0.090     655.5   0.1250   0.0192   0.0020        292.1     40.5      6.0        0.2      275.4       41.3
 0.100     655.4   0.1250   0.0193   0.0019        292.1     40.6      6.1        0.2      275.4       41.2
 0.110     655.4   0.1249   0.0193   0.0019        292.0     40.6      6.1        0.2      275.4       41.1
 0.120     655.3   0.1249   0.0194   0.0019        292.0     40.6      6.1        0.2      275.4       41.0
 0.130     655.3   0.1249   0.0194   0.0018        292.0     40.7      6.1        0.2      275.4       41.0
 0.140     655.3   0.1248   0.0195   0.0018        291.9     40.7      6.1        0.2      275.4       40.9
 0.150     655.2   0.1248   0.0195   0.0018        291.9     40.7      6.1        0.2      275.4       40.8
 0.160     655.2   0.1248   0.0196   0.0017        291.9     40.7      6.1        0.2      275.4       40.8
 0.170     655.1   0.1248   0.0196   0.0017        291.9     40.8      6.1        0.3      275.4       40.7
 0.180     655.1   0.1247   0.0197   0.0017        291.8     40.8      6.1        0.3      275.4       40.7
 0.190     655.0   0.1247   0.0197   0.0016        291.8     40.8      6.1        0.3      275.4       40.6
 0.200     655.0   0.1247   0.0198   0.0016        291.8     40.8      6.1        0.3      275.4       40.6
 0.210     654.9   0.1246   0.0198   0.0016        291.8     40.8      6.1        0.3      275.4       40.5
 0.220     654.9   0.1246   0.0199   0.0016        291.8     40.8      6.1        0.3      275.4       40.5
 0.230     654.9   0.1246   0.0199   0.0016        291.7     40.9      6.1        0.3      275.4       40.4
 0.240     654.8   0.1245   0.0200   0.0015        291.7     40.9      6.1        0.3      275.4       40.4
 0.250     654.8   0.1245   0.0200   0.0015        291.7     40.9      6.1        0.3      275.4       40.3
 0.260     654.8   0.1245   0.0200   0.0015        291.7     40.9      6.1        0.3      275.4       40.3
 0.270     654.7   0.1244   0.0201   0.0015        291.7     40.9      6.1        0.3      275.4       40.2
 0.280     654.7   0.1244   0.0201   0.0015        291.7     40.9      6.1        0.3      275.4       40.2
 0.290     654.6   0.1244   0.0202   0.0014        291.7     40.9      6.1        0.4      275.4       40.1
 0.300     654.6   0.1243   0.0202   0.0014        291.6     40.9      6.1        0.4      275.4       40.1
 0.310     654.6   0.1243   0.0202   0.0014        291.6     40.9      6.2        0.4      275.4       40.1
 0.320     654.6   0.1243   0.0203   0.0014        291.6     40.9      6.2        0.4      275.4       40.0
 0.330     654.5   0.1242   0.0203   0.0014        291.6     40.9      6.2        0.4      275.4       40.0
 0.340     654.5   0.1242   0.0204   0.0014        291.6     40.9      6.2        0.4      275.4       40.0
 0.350     654.5   0.1242   0.0204   0.0013        291.6     41.0      6.2        0.4      275.4       39.9
 0.360     654.4   0.1241   0.0204   0.0013        291.6     41.0      6.2        0.4      275.4       39.9
 0.370     654.4   0.1241   0.0205   0.0013        291.6     41.0      6.2        0.4      275.4       39.9
 0.380     654.4   0.1241   0.0205   0.0013        291.6     41.0      6.2        0.4      275.4       39.8
 0.390     654.4   0.1240   0.0206   0.0013        291.6     41.0      6.2        0.4      275.4       39.8
 0.400     654.3   0.1240   0.0206   0.0013        291.6     41.0      6.2        0.4      275.4       39.8
 0.410     654.3   0.1240   0.0206   0.0013        291.6     41.0      6.2        0.4      275.4       39.7
 0.420     654.3   0.1239   0.0207   0.0013        291.6     41.0      6.2        0.4      275.4       39.7
 0.430     654.3   0.1239   0.0207   0.0013        291.6     41.0      6.2        0.4      275.4       39.7
 0.440     654.2   0.1239   0.0207   0.0013        291.6     41.0      6.2        0.4      275.4       39.7
 0.450     654.2   0.1238   0.0208   0.0012        291.6     41.0      6.3        0.4      275.4       39.6
 0.460     654.2   0.1238   0.0208   0.0012        291.6     41.0      6.3        0.4      275.4       39.6
